YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1958,7.72,4.78,5.01,10.67,5.31,2.92,3.45,6.43,4.43,2.16,2.9,2.12
1959,2.24,3.89,8.24,3.83,1.77,6.02,5.44,2.02,1.15,5.16,5.1,3.91
1960,2.9,5.64,4.0,4.9,4.87,2.06,4.29,1.87,7.9,2.52,2.82,6.1
1961,2.94,3.33,4.62,5.43,5.65,1.34,2.04,3.73,6.58,4.08,4.01,3.81
1962,5.46,5.56,1.1,3.51,1.25,3.92,2.08,3.81,3.48,8.16,3.84,4.31
1963,4.245,3.405,4.99,2.695,4.3,2.53,3.03,3.92,5.0,1.64,4.96,3.37
1964,6.03,4.54,2.43,6.68,0.98,1.77,2.95,0.81,4.32,3.15,1.95,5.82
1965,3.88,2.41,1.85,3.34,1.96,1.79,0.46,3.53,2.54,1.95,2.2,1.72
1966,4.53,4.47,2.1,1.95,5.1,2.15,1.22,1.75,4.85,2.95,4.36,2.2
1967,2.24,3.29,5.61,5.36,8.32,2.17,4.0,4.26,3.02,2.02,3.81,7.54
1968,3.11,1.65,8.75,1.69,3.82,5.66,2.59,0.86,0.85,1.99,7.53,6.3
1969,1.07,7.32,4.56,3.58,2.35,1.35,1.23,3.84,3.28,2.96,8.7,11.44
1970,0.75,6.12,5.27,3.98,2.68,3.95,1.59,10.77,3.04,3.25,5.38,3.81
1971,2.83,6.61,3.4,2.67,5.45,0.85,2.01,2.2,1.62,2.14,5.81,2.54
1972,2.58,4.88,6.44,4.49,5.77,9.36,4.71,1.86,8.7524,3.24,7.32,7.01
1973,2.34,2.73,3.14,7.39,3.66,2.61,1.86,3.81,3.56,3.71,2.93,9.01
1974,4.76,2.22,2.76,3.17,4.0,3.53,3.33,1.34,4.88,2.45,1.67,2.79
1975,5.67,3.46,3.73,3.12,2.38,6.08,2.24,3.04,6.78,4.92,6.13,4.44
1976,5.6,2.32,3.98,1.0,2.66,2.35,3.5,10.26,1.73,5.42,1.9,3.79
1977,3.78,3.02,4.26,4.47,3.48,8.48,1.86,6.67,5.01,7.1,4.72,7.27
1978,8.19,1.68,2.75,2.69,6.7,1.08,5.74,5.06,2.22,3.64,3.12,4.51
1979,10.44,4.38,2.29,5.43,6.07,2.46,0.58,5.03,3.97,3.4,3.99,3.35
1980,1.69,1.3,6.4,4.29,1.82,3.6,1.6,2.13,0.77,4.59,4.28,2.22
1981,1.6,4.62,1.16,4.29,2.61,6.25,2.47,1.75,3.14,3.52,3.07,6.19
1982,6.05,1.98,3.03,3.67,1.65,10.01,2.38,2.48,4.21,3.54,4.17,3.11
1983,3.85,5.73,5.9,7.96,3.71,2.84,1.83,3.14,1.55,4.98,6.64,4.44
1984,2.93,6.12,5.54,5.45,5.46,7.71,5.49,0.42,2.28,4.22,1.53,3.42
1985,1.35,1.58,3.17,0.88,6.67,3.52,4.27,12.12,1.46,1.22,5.54,1.46
1986,6.53,3.24,2.93,2.8,3.3,3.77,5.86,4.76,1.89,1.16,7.09,4.8
1987,5.72,1.06,7.05,6.96,2.8,2.34,1.33,4.48,5.21,2.04,2.51,4.41
1988,2.68,5.47,3.96,2.08,2.29,2.14,6.02,1.04,1.86,2.55,8.27,1.31
1989,2.05,2.73,4.42,5.05,5.33,3.84,7.56,5.8,5.95,6.44,3.93,2.38
1990,5.07,3.95,2.42,5.11,4.76,1.9,7.4,7.38,4.47,4.17,2.14,4.48
1991,3.76,2.17,7.4,5.66,2.02,0.86,1.84,4.54,8.18,4.29,4.46,3.54
1992,3.01,2.22,2.71,3.04,3.01,2.68,3.86,10.55,5.94,1.62,4.31,8.46
1993,2.28,4.73,7.27,5.2,2.73,0.91,2.69,0.83,3.16,4.19,2.55,6.33
1994,5.28,5.27,8.6,2.36,3.27,4.69,1.18,4.8,3.7,0.99,5.89,7.26
1995,2.7,3.21,2.23,2.24,3.11,3.34,3.11,1.54,3.58,5.78,7.4,2.42
1996,7.26,3.2,3.42,7.15,4.3,2.62,5.2,4.23,8.5,7.16,3.0,9.06
1997,3.71,3.0,6.73,5.05,4.89,1.75,3.34,6.4,1.02,2.88,7.21,3.08
1998,7.78,6.57,5.46,6.81,5.74,11.43,0.83,5.34,2.91,6.91,2.15,1.56
1999,7.71,7.92,4.94,1.47,3.38,0.5,1.83,3.38,5.85,6.78,3.9,4.35
2000,3.84,2.95,6.51,7.11,3.32,2.92,7.12,3.72,4.38,1.14,3.67,5.43
2001,3.05,2.72,11.64,2.42,4.52,8.85,3.49,5.35,,1.57,0.39,2.82
2002,2.31,1.12,6.16,2.8,6.57,4.01,0.41,1.25,6.06,3.78,8.38,7.27
2003,2.98,4.34,5.69,7.14,3.28,5.11,2.38,3.85,3.35,5.79,2.98,7.43
2004,1.36,2.42,2.53,4.08,3.05,1.04,1.82,6.65,5.11,2.65,3.71,3.01
2005,5.55,2.35,4.09,5.99,4.21,3.11,1.33,6.7,2.34,12.2,5.9,3.43
2006,4.36,2.05,0.45,1.06,3.79,10.93,3.12,4.16,2.57,3.62,3.72,2.03
2007,2.76,1.44,2.59,5.85,1.13,3.55,2.89,1.71,1.54,3.17,4.17,4.88
2008,0.96,7.06,6.69,5.65,3.66,2.65,4.94,7.91,11.01,3.9,6.33,6.96
2009,4.63,1.35,3.75,7.1,4.11,4.96,11.92,5.29,3.67,8.92,3.0,8.41
2010,2.23,4.81,16.71,1.73,3.07,3.22,4.75,3.09,2.71,6.66,5.6,2.61
2011,5.54,4.43,2.0,4.31,4.66,2.65,2.34,4.86,4.65,,3.9,3.74
2012,3.23,3.11,0.0,3.09,7.67,3.04,3.52,1.51,2.13,1.2,0.58,2.8
2013,0.52,3.31,1.22,0.96,3.54,10.34,3.74,2.89,3.29,0.57,2.29,2.72
2014,4.43,6.06,3.19,5.43,1.56,2.26,10.97,2.33,0.68,3.59,2.9,7.47
2015,2.77,3.58,2.82,1.33,0.63,6.06,3.27,4.4,7.29,3.38,2.44,3.65
2016,3.64,4.7,1.37,3.01,3.42,1.78,3.23,1.05,3.7,4.05,3.66,3.25
2017,5.31,1.31,1.6,4.31,5.03,3.46,1.6,3.73,5.05,5.65,3.22,3.03
2018,4.99,6.46,5.94,6.51,2.56,3.3,1.52,2.78,5.42,6.59,8.1,3.57
2019,5.47,3.98,1.86,6.17,4.84,5.82,4.32,3.75,0.86,,,
