Destination,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Total,Puerto Rico,U.S. Island Area,Foreign Country
Alabama,0,"1,105",904,813,"3,690","2,042",705,0,248,"15,519","13,993",668,0,"1,962","3,451",722,"1,212","1,500","3,789",140,808,"1,452","1,893",41,"4,377",864,151,386,771,176,599,53,"1,996","3,597",17,"2,364",541,245,"2,336",257,"2,448",0,"9,970","8,405","2,083",0,"2,876","1,883",421,"1,307",0,"12,189",338,103,"11,748"
Alaska,260,0,886,12,"2,547",685,153,224,69,"2,473",743,217,"1,644",952,0,143,"1,296","1,017",529,77,339,515,310,417,86,890,113,1,986,0,0,878,329,"2,557",187,29,359,750,385,0,448,280,301,"4,332","1,092",44,"2,216","1,435",355,228,242,"4,295",37,17,"4,241"
Arizona,"1,750","1,561",0,"1,022","59,713","14,684",895,653,239,"7,358","3,947","4,942","2,961","10,915","3,156","2,982","3,742",383,"1,650",218,"1,905","2,745","7,914","5,868",393,"2,248","1,636","2,307","7,514",392,"3,221","7,251","6,079","4,038","1,012","5,178","2,042","6,979","4,906",227,304,989,"2,253","17,482","8,917",662,"3,837","17,636",237,"3,688",664,"46,614",970,152,"45,492"
Arkansas,636,98,692,0,"4,967","1,585",87,0,295,"2,118","1,352",118,157,"1,308",438,674,"1,139",265,"4,089",39,535,97,820,"1,142","1,867","4,368",74,380,962,0,420,0,642,369,39,569,"5,826",501,533,0,443,0,"3,237","12,851",710,0,671,571,133,797,"1,109","8,125",302,0,"7,823"
California,"3,310","5,064","28,226","3,104",0,"15,085","4,067","1,630","3,075","22,692","14,496","11,985","4,372","24,085","4,923","1,956","2,941","2,606","5,347","2,335","11,775","16,158","6,406","8,951","2,354","7,638","1,974","2,587","26,433",709,"10,812","3,418","37,567","13,863",710,"9,098","3,747","17,265","12,578","2,839","5,803","1,345","5,863","37,063","8,504",784,"24,506","31,882",303,"4,811","1,159","266,485","1,780","2,887","261,818"
Colorado,"3,422",862,"10,616","1,022","29,350",0,942,0,259,"14,124","6,985","2,782",798,"10,153","3,114","2,589","6,544","1,455","3,901",900,"3,555","6,053","3,101","5,523",554,"4,801","1,984","4,861","3,888",196,"3,677","4,895","7,965","4,930","2,084","4,432","4,412","3,619","3,362",820,"1,081","1,581","5,549","32,295","2,458",161,"6,796","7,333",502,"4,454","3,860","28,923",642,83,"28,198"
Connecticut,248,220,441,0,"4,049","1,165",0,45,313,"7,501","1,266",912,0,"1,389",309,165,94,135,764,743,"1,720","13,020","1,091",676,0,212,0,189,174,741,"5,297",0,"27,606","2,640",0,"1,369",199,523,"3,711","3,788",910,539,921,"2,141",120,103,"1,764",191,408,232,0,"29,118","4,280",0,"24,838"
Delaware,0,294,0,0,161,530,415,0,442,939,344,0,0,562,0,0,189,0,41,0,"8,646",548,0,0,26,37,29,262,149,78,"6,955",177,"3,044","1,167",0,34,"1,025",0,"8,902",258,8,0,409,744,75,0,"1,260",45,219,0,0,"4,234",0,0,"4,234"
District of Columbia ,462,338,291,0,"3,437",870,"1,298",0,0,"1,496","1,190",0,28,"1,361",427,59,41,131,452,448,"15,499","2,383",758,278,265,976,4,49,0,49,"2,758",466,"4,314","1,481",0,755,185,172,"1,718",138,568,250,991,"2,073",0,54,"8,828",852,324,362,0,"9,986",213,0,"9,773"
Florida,"15,153","4,906","7,054","3,544","28,628","13,656","13,227","3,083","2,705",0,"49,681","4,103","1,032","24,425","18,175","3,669","1,813","10,545","8,606","4,812","14,831","17,056","21,668","6,239","4,572","11,326",591,"1,948","3,674","3,529","28,222","2,349","57,488","28,207","1,230","30,335","6,488","4,309","34,965","2,685","9,909","1,364","14,573","26,174","3,433","3,355","26,031","6,870","2,186","6,563",624,"203,405","14,657","2,422","186,326"
Georgia,"14,169","1,378","2,362","3,322","15,437","2,904","2,927","1,076",934,"46,235",0,"2,069",159,"14,438","3,020","1,566","3,931","2,614","2,845",252,"1,992","2,876","4,281",968,"5,502","5,863",359,"2,881","1,991",686,"8,455",102,"14,641","15,580",0,"5,146","1,538","1,024","7,726","1,016","18,828",500,"17,210","22,452","1,182",265,"11,686","2,879",408,"3,898",968,"50,494","1,906",359,"48,229"
Hawaii,502,907,803,169,"10,954","2,190",414,0,189,"1,858","1,836",0,"1,294",568,318,0,466,471,117,0,352,489,90,500,0,729,625,200,"2,641",48,668,402,"1,940","3,524",302,"1,271",131,"1,613",23,116,189,0,586,"1,667",772,65,"3,107","4,322",197,83,0,"14,571",204,442,"13,925"
Idaho,19,674,"5,018",386,"17,722","3,970",247,58,0,895,397,599,0,268,454,14,179,183,117,231,385,168,607,324,192,404,"3,026",304,"2,093",0,0,325,194,541,179,403,"1,903","7,570",653,0,305,308,344,"3,198","7,371",0,"1,715","13,505",0,620,662,"6,481",0,0,"6,481"
Illinois,"1,658",135,"5,054","1,202","14,692","3,455","1,783",213,865,"14,534","3,610",767,106,0,"17,156","10,294","2,307","3,514",805,564,"2,572","3,693","10,396","3,930",765,"13,389",37,"1,772","1,394",507,"3,562",631,"8,032","4,792",445,"7,684","2,326","1,214","4,591",143,"1,518",285,"2,518","9,106",326,74,"5,338","4,364",379,"12,021",109,"57,762",714,263,"56,785"
Indiana,"1,481",184,"4,067","1,056","7,255","2,050","2,165",48,251,"11,926","2,117",90,0,"36,328",0,"1,744","1,349","12,483",621,146,542,469,"8,509","1,599",699,"2,373",326,204,"2,016",0,"1,391",429,"4,199","5,054",42,"12,038",986,951,"5,331",37,"1,312",409,"3,169","7,095",490,40,"2,096","2,186",10,"1,962",118,"26,733",136,0,"26,597"
Iowa,70,425,"2,175",188,"5,819","4,472",142,0,7,"4,397",498,71,"1,382","10,843",836,0,"1,295",376,502,0,"1,444",271,350,"5,358",424,"3,461",402,"7,454",492,0,85,366,489,"1,307",76,"1,358",261,981,318,34,64,"2,276",546,"3,936",3,0,"1,051",781,409,"4,722",434,"14,124",0,0,"14,124"
Kansas,"1,021",7,"2,367","1,830","4,957","7,224",208,379,266,"3,828","3,105",167,76,"2,449","1,609","1,010",0,"1,297",313,0,219,6,537,"2,373",521,"27,065","1,227","2,836",147,92,509,403,"1,497","1,757",515,309,"4,258",553,"2,189",0,308,39,"1,316","8,374",378,0,"1,556","2,325",174,610,442,"12,970",696,81,"12,193"
Kentucky,"4,390",855,990,521,"3,410","1,177",310,0,133,"7,139","3,740",804,0,"4,843","11,424","1,573",565,0,668,"1,893","1,076",301,"3,825",310,246,"1,498",8,341,645,0,509,544,"2,693","2,922",162,"13,309",378,255,"3,235",0,"1,040",63,"8,070","2,878","1,746",95,"4,170","2,232",983,"2,088",0,"11,890",92,0,"11,798"
Louisiana,"2,567","1,194","1,357","2,497","4,228","1,881",109,0,31,"5,296","2,809",175,142,712,258,330,133,171,0,0,812,277,554,112,"5,395",920,248,317,829,341,229,374,"1,359","1,412",109,"1,190","1,973",162,710,102,"1,549",3,"1,948","19,675",129,112,"1,526",805,49,529,0,"17,238","1,165",673,"15,400"
Maine,73,318,317,183,"1,644",982,"3,092",675,210,"2,797",244,372,21,436,151,183,0,236,136,0,787,"7,005",494,0,0,67,548,0,32,"5,838",422,124,"1,273","2,042",0,446,29,306,"1,249",351,306,19,377,459,161,424,307,541,11,353,88,"4,864",73,212,"4,579"
Maryland,"1,597",0,"1,770",274,"10,092","1,960","1,885","5,429","17,718","7,766","3,720","1,059",0,"1,929",512,130,91,161,"1,000",213,0,"2,248","1,017",542,396,263,0,80,472,725,"8,021",875,"6,018","5,453",173,"2,849",591,399,"14,376",177,"1,147",0,640,"4,954","1,186",368,"23,429","1,338","4,933","1,790",0,"44,085",602,837,"42,646"
Massachusetts,"1,099",553,"1,228",0,"11,430","2,094","11,690",13,956,"10,360","4,290",449,162,"4,050","1,366",390,274,621,"1,831","6,122","3,521",0,"1,260","1,344",297,662,392,96,869,"11,731","5,638",41,"17,143","3,812",140,"2,190",69,"1,288","6,043","7,784","2,647",41,"1,933","6,088","1,286","2,167","3,768","2,353",63,281,154,"63,889","3,043",226,"60,620"
Michigan,"1,997",222,"3,447",464,"8,672","2,459","1,569",0,214,"9,941","5,249","1,124",205,"10,177","11,026",600,"1,039","1,961",686,"1,716",984,"2,271",0,"1,747","1,502","2,800",75,948,"1,348",742,"1,267","1,061","6,078","2,971",717,"12,261",780,"1,110","5,074",99,"1,241",320,"4,489","8,434",428,32,"3,468","1,726",767,"4,361",139,"38,344",990,80,"37,274"
Minnesota,433,"1,240","1,748",296,"6,232","3,647",386,6,209,"4,070","1,862",30,850,"8,348","2,085","5,739",607,445,192,207,826,"2,442","3,106",0,495,"1,568","1,379","1,365","1,081",0,602,506,"2,549","1,175","8,360","2,935",204,"1,119","1,349",0,275,"3,941","1,262","5,916",314,0,"1,743","5,166",0,"18,403",207,"25,385",29,330,"25,026"
Mississippi,"3,512",80,495,"2,625","3,024",421,0,0,28,"4,712","2,271",221,135,"3,133",234,246,220,463,"9,257",0,975,252,309,0,0,528,133,290,298,37,183,0,"2,124","1,383",291,"2,153",292,565,917,0,"1,016",0,"9,192","4,689",406,10,"2,244",526,647,"1,146",0,"6,884",922,331,"5,631"
Missouri,"2,246",927,"3,184","4,768","7,970","4,032",997,160,74,"6,848","5,492",875,"1,066","17,366","5,811","5,774","20,685","2,042","1,488",644,"1,210",464,"1,328","1,321","2,091",0,589,"3,190",877,277,"1,515",482,"2,247","5,552",873,"1,691","4,644",761,"1,320",246,987,494,"4,106","11,507","1,567","1,094","2,682","2,903",829,"3,004",45,"22,584","1,109",593,"20,882"
Montana,400,"1,124","1,271",68,"5,298","3,831",346,0,0,"1,715",149,32,"2,197","1,045",84,350,137,49,954,72,21,374,346,996,30,487,0,424,"1,928",63,0,117,"1,239",718,792,500,455,"1,977",651,0,0,188,0,780,"1,900",134,768,"4,907",176,107,"1,662","4,197",11,0,"4,186"
Nebraska,812,127,"1,968",273,"2,035","2,816",261,9,0,"1,474",358,438,386,"1,158",448,"6,952","4,054",182,59,47,"1,092",218,510,"1,615",238,"1,679",302,0,35,0,110,792,472,828,968,233,"1,582",78,157,62,87,"2,070",351,"4,199","1,111",0,"1,180",365,148,725,"1,000","8,088",122,0,"7,966"
Nevada,239,"2,850","8,636",356,"47,322","3,206",694,0,259,"5,429","1,432","3,612","1,660","4,239",594,"1,706",559,211,"1,276",0,"2,540",407,"1,229",782,"1,861",995,"1,206",90,0,460,960,"4,823","2,711",798,678,"1,658",968,"3,392","1,582",0,767,417,"1,372","5,240","6,593",0,"1,959","3,906",74,"1,156",46,"20,385",255,302,"19,828"
New Hampshire,379,392,970,154,"1,110",372,"1,701",106,661,"1,182",216,153,126,390,524,56,0,376,391,"4,524",927,"18,723",581,92,0,0,278,57,160,0,"1,012",97,"3,556",269,0,986,0,317,"1,306","1,022",413,126,801,892,272,"2,370",890,582,155,621,0,"6,681",475,0,"6,206"
New Jersey,357,457,806,261,"9,155","3,314","3,484","1,066",629,"12,032","1,915",218,73,"1,854",664,61,480,537,449,916,"3,772","2,726","1,657",98,499,296,30,384,717,829,0,127,"58,664","4,294",0,628,122,398,"22,445",137,412,0,527,"4,489",540,133,"4,810",996,494,308,0,"64,167","3,036",305,"60,826"
New Mexico,751,950,"4,255",416,"5,915","5,038",598,108,32,"1,804","1,019",949,318,836,368,4,475,78,365,119,384,259,216,356,83,372,468,0,"2,303",97,811,0,608,"1,263",10,209,702,976,791,83,355,85,599,"15,762",766,102,564,"1,330",0,142,"1,451","11,960",217,0,"11,743"
New York,851,596,"2,185","1,130","24,332","5,754","15,040","1,655","3,325","18,976","5,938","1,301",138,"6,447","1,470","1,554","1,329","1,553","1,757","1,918","6,015","17,910","5,504","2,237",444,"1,054",194,746,"2,366","2,417","31,942","1,139",0,"9,847",247,"5,629",530,"2,091","22,641","1,623","3,169",68,"5,513","13,033","1,185","3,084","12,180","2,697",530,"1,450",72,"134,362","1,868",282,"132,212"
North Carolina,"4,697","1,568","5,319","1,976","18,023","6,089","5,840","1,595","1,700","30,032","19,017","2,955",476,"6,527","5,646","1,227",857,"4,793","1,272",526,"13,408","5,389","6,302","2,447",818,"2,982","1,004",217,"1,094",867,"15,297","1,270","23,571",0,980,"9,698","1,705","1,976","13,341","1,531","27,740",185,"9,970","14,226","1,125",435,"29,764","2,984","2,950","1,643",161,"52,110","1,986",560,"49,564"
North Dakota,0,214,945,46,404,585,65,0,0,"1,168",903,0,60,451,174,652,292,0,144,82,33,113,"1,015","13,506",0,"1,050","1,660",288,270,72,"1,713",677,445,134,0,13,0,253,19,0,95,"2,329",175,"3,075",444,0,302,"1,759",0,313,730,"3,970",593,63,"3,314"
Ohio,"1,203",468,"3,591","1,195","12,277","3,905","3,076",205,306,"16,590","7,669",587,327,"7,615","12,714","1,005","1,318","17,884",538,251,"2,889","2,304","14,049","1,540","1,413","3,289",599,691,"2,525",493,"5,205",848,"8,780","4,799","1,354",0,696,"1,972","16,792",108,"3,247",722,"4,196","13,564","2,629",582,"5,339","2,155","6,056","3,490",492,"43,577","2,695",725,"40,157"
Oklahoma,241,188,"2,962","7,421","7,408","9,020",430,0,0,"4,109","1,888","1,531",429,"2,401","2,397",551,"4,371",537,"1,942",17,672,255,794,638,271,"4,166",617,973,"1,018",0,467,"3,447","1,505","2,745",92,"1,163",0,432,881,65,85,880,"1,143","26,383",155,363,"2,146","2,039",216,64,326,"13,531",741,0,"12,790"
Oregon,162,"2,068","6,540",425,"37,927","5,730",377,0,135,"4,218",848,"2,798","5,623","1,602",681,802,954,219,765,630,103,"1,689","1,250","1,368",10,947,"2,927",312,"3,592",0,185,"1,251","3,462","1,692",414,852,"1,350",0,"1,678",62,568,4,"1,113","4,441","3,684",298,"1,582","21,339",0,564,680,"19,799",0,35,"19,764"
Pennsylvania,"1,898","1,008","3,104",502,"13,048","1,631","4,853","6,387","1,978","19,629","7,481","1,325",183,"3,996","2,276",278,"1,073","1,222","1,657","1,787","21,659","4,551","1,969","2,708",65,"1,760",15,"2,007",721,"1,148","43,295",163,"46,618","7,221",697,"12,752","1,975","1,004",0,850,"4,742",507,"2,564","11,490",869,"1,483","12,193","2,394","3,763",942,24,"51,422","4,028",61,"47,333"
Rhode Island,0,0,423,0,"1,854",238,"2,561",16,0,"3,084",84,0,0,624,150,413,0,148,53,475,243,"12,742",49,0,49,135,0,17,0,290,"1,420",51,"2,359",887,0,441,0,387,"1,538",0,680,0,136,"1,597",186,428,863,144,83,136,0,"4,526",113,150,"4,263"
South Carolina,873,680,"1,704",579,"7,785","1,506","2,880",595,454,"14,136","16,644","1,280",754,"4,210","1,596",871,"1,043","3,545","1,721",833,"6,663","3,094","2,251",685,546,656,0,205,"1,087",146,"6,233","1,581","10,416","33,940",971,"5,641",812,410,"7,227",993,0,547,"4,184","7,631",548,336,"10,143","2,112","1,559","1,702",0,"23,057","1,491",319,"21,247"
South Dakota,339,14,650,141,"1,778",818,0,0,0,550,436,131,112,"1,300",771,"3,613",581,0,0,0,290,0,128,"5,777",24,445,674,"1,620",34,116,349,92,0,419,"1,218",107,374,958,28,0,162,0,386,"1,080",199,0,76,280,0,391,473,"4,632",682,0,"3,950"
Tennessee,"6,294","1,506","1,457","5,252","11,874","4,674",740,689,157,"21,539","12,668",522,532,"8,607","5,630",857,"1,204","11,500","1,964",339,"1,744","1,109","6,548","1,215","12,011","2,492",700,419,"2,101",297,"2,382","1,094","6,594","13,551",0,"5,547",935,"1,453","1,833",399,"4,872",490,0,"15,068","1,240",336,"8,040","3,821","1,235","1,188",46,"20,368",24,255,"20,089"
Texas,"8,791","4,622","21,205","12,341","82,235","18,189","2,085",930,711,"41,238","24,209","6,977","2,836","23,747","6,244","3,306","12,823","6,239","24,513","1,212","8,660","8,277","11,061","5,949","6,316","8,085","2,136","3,842","10,529","2,098","10,319","23,425","18,078","15,838",944,"8,975","23,535","4,430","9,352",556,"9,240","1,918","9,833",0,"10,072",445,"18,973","15,128","1,059","4,824","1,311","217,085","9,352",371,"207,362"
Utah,"1,027",526,"6,301",888,"17,821","7,856","2,830",0,252,"2,451",668,773,"6,752","4,238","2,256",929,552,194,"1,046",0,"1,152",545,748,770,168,995,"1,294",640,"4,423",222,588,663,"2,073","1,809",147,"1,455",775,"2,873",478,572,"1,295",16,"1,622","4,871",0,233,922,"4,481",322,547,"1,549","15,783",96,107,"15,580"
Vermont,77,402,41,0,"1,048",687,798,0,253,637,285,2,81,670,99,56,0,12,0,565,316,"4,045",103,56,0,113,0,14,128,"2,076",799,184,"3,276",90,0,97,0,152,"1,401",216,257,0,63,"1,082",41,0,527,413,20,0,30,"1,820",3,0,"1,817"
Virginia,"4,028","1,256","2,513","1,011","16,994","4,588","2,838","1,187","9,540","21,432","9,246","1,807",659,"6,562","2,413","1,827",973,"2,619","2,609",856,"27,172","5,480","6,012","1,033","1,512","3,137","1,211",556,"2,302",655,"9,511","1,468","15,618","26,435",158,"5,498","1,486","1,042","12,284","1,098","9,721",122,"5,310","13,924","1,736","1,633",0,"6,580","5,518","1,518",167,"69,587","1,896",185,"67,506"
Washington,"1,060","4,255","8,263",83,"46,791","6,829","3,098",0,"1,510","7,925","2,611","5,855","12,599","3,829","2,244",644,"1,924",953,"1,298",864,"2,017","3,526","3,703","2,378",136,"1,938","6,017","1,780","2,556","2,011",824,"1,137","6,885","1,479",904,"2,897","1,383","33,712","4,833",373,"2,327",18,"3,115","18,528","5,440",391,"6,656",0,275,"1,456",626,"64,013",318,"1,465","62,230"
West Virginia,245,192,356,120,940,266,0,127,154,"3,052",658,256,30,380,178,119,45,"1,518",0,223,"3,976",425,316,433,0,361,0,96,64,37,527,0,546,"2,515",0,"4,985",117,53,"5,706",124,"2,882",0,402,927,0,19,"6,008",129,0,41,0,"5,382",606,0,"4,776"
Wisconsin,678,"1,070","1,917",290,"6,886","3,125",826,0,298,"5,168","1,783",283,93,"22,402","1,951","4,289","1,421","1,468","1,167",175,241,584,"5,307","17,524",581,"2,796",130,872,747,401,331,237,"2,337","1,645","1,369","1,049",346,639,990,146,948,763,"1,294","5,049",808,0,"1,878","1,682",572,0,"1,417","16,636",513,0,"16,123"
Wyoming,"1,227",54,757,298,"3,211","3,129",109,0,0,909,203,33,"1,792",49,616,23,366,149,201,136,0,100,93,492,0,582,"1,850",927,"2,881",473,187,377,389,4,265,97,564,514,447,0,509,"1,041",116,"1,696","1,746",0,415,885,308,27,0,"1,382",0,0,"1,382"
Puerto Rico,141,0,110,149,826,474,226,140,415,"10,000",579,0,264,652,106,0,0,42,0,0,517,"2,463",6,0,0,0,0,0,0,63,848,0,"3,126","1,221",79,"1,046",0,131,"3,886",0,389,0,0,809,0,0,"1,348",507,0,581,0,"6,082",0,342,"5,740"